"","Year","gridID","Speciescommonname","Survey","mean_CPUE_stdzd"
"1",2010,69,"alewife","P915",0
"2",2010,38,"alewife","P915",0
"3",2010,99,"alewife","P915",0
"4",2010,68,"alewife","P915",0
"5",2011,38,"alewife","P915",0
"6",2011,8,"alewife","P915",0
"7",2011,98,"alewife","P915",0
"8",2012,98,"alewife","P915",0
"9",2012,99,"alewife","P915",0
"10",2012,68,"alewife","P915",0
"11",2012,69,"alewife","P915",0
"12",2013,98,"alewife","P915",0
"13",2013,69,"alewife","P915",0
"14",2014,69,"alewife","P915",0
"15",2014,98,"alewife","P915",0
"16",2015,98,"alewife","P915",0
"17",2015,38,"alewife","P915",0
"18",2015,69,"alewife","P915",0
"19",2016,99,"alewife","P915",0
"20",2016,69,"alewife","P915",0
"21",2016,68,"alewife","P915",0
"22",2017,69,"alewife","P915",0
"23",2017,98,"alewife","P915",0
"24",2018,68,"alewife","P915",0
"25",2018,38,"alewife","P915",0
"26",2018,98,"alewife","P915",0
"27",2019,68,"alewife","P915",0
"28",2019,98,"alewife","P915",0
"29",2008,38,"alewife","P915",0
"30",2008,99,"alewife","P915",0
"31",2008,39,"alewife","P915",0
"32",2009,68,"alewife","P915",0
"33",2009,98,"alewife","P915",0
"34",2010,628,"alewife","P915",0
"35",2010,508,"alewife","P915",0
"36",2010,539,"alewife","P915",0
"37",2010,446,"alewife","P915",0
"38",2010,415,"alewife","P915",0
"39",2010,509,"alewife","P915",0
"40",2010,478,"alewife","P915",0
"41",2011,415,"alewife","P915",0
"42",2011,478,"alewife","P915",0
"43",2011,445,"alewife","P915",0
"44",2011,658,"alewife","P915",0
"45",2011,539,"alewife","P915",0
"46",2011,508,"alewife","P915",0
"47",2011,569,"alewife","P915",0
"48",2011,598,"alewife","P915",0
"49",2012,478,"alewife","P915",0
"50",2012,569,"alewife","P915",0
"51",2012,477,"alewife","P915",0
"52",2012,445,"alewife","P915",0
"53",2012,509,"alewife","P915",0
"54",2012,447,"alewife","P915",0
"55",2013,447,"alewife","P915",0
"56",2013,538,"alewife","P915",0
"57",2013,478,"alewife","P915",0
"58",2013,445,"alewife","P915",0
"59",2013,539,"alewife","P915",0
"60",2013,508,"alewife","P915",0
"61",2014,446,"alewife","P915",0
"62",2014,478,"alewife","P915",0
