"","Speciesscientificname","Speciescommonname","Species"
"1","lolliguncula brevis","atlantic brief squid","L. brevis"
"2","farfantepenaeus duorarum","pink shrimp","F. duorarum"
"3","rimapenaeus constrictus","roughneck shrimp","R. constrictus"
"4","hepatus epheliticus","shamefaced crab","H. epheliticus"
"5","libinia dubia","longnose spider crab","L. dubia"
"6","cancer irroratus","atlantic rock crab","C. irroratus"
"7","callinectes sapidus","blue crab","C. sapidus"
"8","callinectes similis","lesser blue crab","C. similis"
"9","ovalipes ocellatus","lady crab","O. ocellatus"
"10","ovalipes stephensoni","coarsehand lady crab","O. stephensoni"
"11","portunus gibbesii","iridescent swimming crab","P. gibbesii"
"12","portunus spinimanus","blotched swimming crab","P. spinimanus"
"13","dyspanopeus sayi","say mud crab","D. sayi"
"14","squilla empusa","mantis shrimp","S. empusa"
"15","dasyatis americana","southern stingray","D. americana"
"16","rhinoptera bonasus","cownose ray","R. bonasus"
"17","opisthonema oglinum","atlantic thread herring","O. oglinum"
"18","anchoa mitchilli","bay anchovy","A. mitchilli"
"19","prionotus scitulus","leopard searobin","P. scitulus"
"20","pomatomus saltatrix","bluefish","P. saltatrix"
"21","leiostomus xanthurus","spot","L. xanthurus"
"22","menticirrhus americanus","southern kingfish","M. americanus"
"23","scomberomorus maculatus","spanish mackerel","S. maculatus"
"24","citharichthys macrops","spotted whiff","C. macrops"
"25","etropus crossotus","fringed flounder","E. crossotus"
"26","symphurus plagiusa","blackcheek tonguefish","S. plagiusa"
"27","trinectes maculatus","hogchoker","T. maculatus"
"28","sicyonia brevirostris","rock shrimp","S. brevirostris"
"29","libinia emarginata","portly spider crab","L. emarginata"
"30","raja eglanteria","clearnose skate","R. eglanteria"
"31","anchoa hepsetus","striped anchovy","A. hepsetus"
"32","urophycis regia","spotted hake","U. regia"
"33","cynoscion nothus","silver seatrout","C. nothus"
"34","stellifer lanceolatus","star drum","S. lanceolatus"
"35","hypsoblennius hentz","gobies and blennies","H. hentz"
"36","peprilus triacanthus","butterfish","P. triacanthus"
"37","paralichthys lethostigma","southern flounder","P. lethostigma"
"38","scophthalmus aquosus","windowpane","S. aquosus"
"39","ancylopsetta quadrocellata","ocellated flounder","A. quadrocellata"
"40","farfantepenaeus aztecus","northern brown shrimp","F. aztecus"
"41","litopenaeus setiferus","white shrimp","L. setiferus"
"42","pagurus pollicaris","gray hermit crab","P. pollicaris"
"43","brevoortia tyrannus","atlantic menhaden","B. tyrannus"
"44","cynoscion regalis","weakfish","C. regalis"
"45","menticirrhus littoralis","gulf kingfish","M. littoralis"
"46","menippe mercenaria","florida stone crab","M. mercenaria"
"47","larimus fasciatus","banded drum","L. fasciatus"
"48","paralichthys dentatus","summer flounder","P. dentatus"
"49","gibbesia neglecta","lesser mantis shrimp","G. neglecta"
"50","prionotus rubio","blackwing searobin","P. rubio"
"51","chilomycterus schoepfii","striped burrfish","C. schoepfii"
"52","calappa flammea","flame box crab","C. flammea"
"53","anchoa lyolepis","dusky anchovy","A. lyolepis"
"54","porichthys plectrodon","atlantic midshipman","P. plectrodon"
"55","membras martinica","rough sliverside","M. martinica"
"56","dactylopterus volitans","flying gurnard","D. volitans"
"57","dasyatis centroura","roughtail stingray","D. centroura"
"58","synodus foetens","inshore lizardfish","S. foetens"
"59","diplectrum formosum","sand perch","D. formosum"
"60","sicyonia laevigata","notched tidal rock shrimp","S. laevigata"
"61","mustelus canis","smooth dogfish","M. canis"
"62","ophidion grayi","blotched cusk-eel","O. grayi"
"63","scorpaena calcarata","smoothhead scorpionfish","S. calcarata"
"64","prionotus tribulus","bighead searobin","P. tribulus"
"65","octopus vulgaris","common octopus","O. vulgaris"
"66","cryptodromiopsis antillensis","hairy sponge crab","C. antillensis"
"67","pilumnus sayi","spineback hairy crab","P. sayi"
"68","sardinella aurita","spanish sardine","S. aurita"
"69","trachinocephalus myops","snakefish","T. myops"
"70","symphurus urospilus","spottail tonguefish","S. urospilus"
"71","aluterus schoepfii","orange filefish","A. schoepfii"
"72","pagurus impressus","palmate hermit crab","P. impressus"
"73","petrochirus diogenes","giant hermit","P. diogenes"
"74","otophidium omostigma","polka-dot cusk-eel","O. omostigma"
"75","bothus robinsi","twospot flounder","B. robinsi"
"76","syacium papillosum","dusky flounder","S. papillosum"
"77","stephanolepis hispida","planehead filefish","S. hispida"
"78","hypoconcha spinosissima","spiny shellback crab","H. spinosissima"
"79","persephona mediterranea","mottled purse crab","P. mediterranea"
"80","macrocoeloma trispinosum","spongy decorator crab","M. trispinosum"
"81","mithrax spinosissimus","channel clinging crab","M. spinosissimus"
"82","aetobatus narinari","spotted eagle ray","A. narinari"
"83","conger oceanicus","conger eel","C. oceanicus"
"84","urophycis earllii","carolina hake","U. earllii"
"85","hippocampus erectus","lined seahorse","H. erectus"
