Control1,Program,Year,Month,Day,Location,Gear1,Station,Grid,Quad,Time,Duration (minutes),SedSize,BtmComp,Depth (m),Surface Temp ©,Bottom Temp ©,Surface Salinity (ppt),Bottom Salinity (ppt),Surface DO (mg/L),Bottom DO (mg/L),Weather,WindDir,WindSpd (knots),WaterLvl,SECCHI (cm),NbrRec3,Control3,Species,SpStatus,ColNum,COMBT,CORE,LAT,LONG,LAT_DD,LONG_DD
9001118,120,1990,5,8,601040200,556,CC10,,,905,1,X,B,0.5,21.4,21.4,31.3,31.3,,,,,,,,19,9.00112E+19,F. aztecus,0,1094,CC100601040200,1,345522,762133,34.923,-76.359
9001118,120,1990,5,8,601040200,556,CC10,,,905,1,X,B,0.5,21.4,21.4,31.3,31.3,,,,,,,,19,9.00112E+19,Palaemonetes spp.,0,,CC100601040200,1,345522,762133,34.923,-76.359
9001118,120,1990,5,8,601040200,556,CC10,,,905,1,X,B,0.5,21.4,21.4,31.3,31.3,,,,,,,,19,9.00112E+19,C. sapidus,0,46,CC100601040200,1,345522,762133,34.923,-76.359
9001118,120,1990,5,8,601040200,556,CC10,,,905,1,X,B,0.5,21.4,21.4,31.3,31.3,,,,,,,,19,9.00112E+19,A. mitchilli,0,14,CC100601040200,1,345522,762133,34.923,-76.359
9001118,120,1990,5,8,601040200,556,CC10,,,905,1,X,B,0.5,21.4,21.4,31.3,31.3,,,,,,,,19,9.00112E+19,O. tau,0,1,CC100601040200,1,345522,762133,34.923,-76.359
9001118,120,1990,5,8,601040200,556,CC10,,,905,1,X,B,0.5,21.4,21.4,31.3,31.3,,,,,,,,19,9.00112E+19,G. holbrooki,0,6,CC100601040200,1,345522,762133,34.923,-76.359
9001118,120,1990,5,8,601040200,556,CC10,,,905,1,X,B,0.5,21.4,21.4,31.3,31.3,,,,,,,,19,9.00112E+19,Syngnathus spp.,0,4,CC100601040200,1,345522,762133,34.923,-76.359
9001118,120,1990,5,8,601040200,556,CC10,,,905,1,X,B,0.5,21.4,21.4,31.3,31.3,,,,,,,,19,9.00112E+19,P. carolinus,0,1,CC100601040200,1,345522,762133,34.923,-76.359
9001118,120,1990,5,8,601040200,556,CC10,,,905,1,X,B,0.5,21.4,21.4,31.3,31.3,,,,,,,,19,9.00112E+19,C. hippos,0,1,CC100601040200,1,345522,762133,34.923,-76.359
9001118,120,1990,5,8,601040200,556,CC10,,,905,1,X,B,0.5,21.4,21.4,31.3,31.3,,,,,,,,19,9.00112E+19,O. chrysoptera,0,32,CC100601040200,1,345522,762133,34.923,-76.359
9001118,120,1990,5,8,601040200,556,CC10,,,905,1,X,B,0.5,21.4,21.4,31.3,31.3,,,,,,,,19,9.00112E+19,L. rhomboides,0,396,CC100601040200,1,345522,762133,34.923,-76.359
9001118,120,1990,5,8,601040200,556,CC10,,,905,1,X,B,0.5,21.4,21.4,31.3,31.3,,,,,,,,19,9.00112E+19,B. chrysoura,0,1,CC100601040200,1,345522,762133,34.923,-76.359
9001118,120,1990,5,8,601040200,556,CC10,,,905,1,X,B,0.5,21.4,21.4,31.3,31.3,,,,,,,,19,9.00112E+19,L. xanthurus,0,153,CC100601040200,1,345522,762133,34.923,-76.359
9001118,120,1990,5,8,601040200,556,CC10,,,905,1,X,B,0.5,21.4,21.4,31.3,31.3,,,,,,,,19,9.00112E+19,S. barracuda,0,1,CC100601040200,1,345522,762133,34.923,-76.359
9001118,120,1990,5,8,601040200,556,CC10,,,905,1,X,B,0.5,21.4,21.4,31.3,31.3,,,,,,,,19,9.00112E+19,G. bosc,0,3,CC100601040200,1,345522,762133,34.923,-76.359
9001118,120,1990,5,8,601040200,556,CC10,,,905,1,X,B,0.5,21.4,21.4,31.3,31.3,,,,,,,,19,9.00112E+19,C. spilopterus,0,21,CC100601040200,1,345522,762133,34.923,-76.359
9001118,120,1990,5,8,601040200,556,CC10,,,905,1,X,B,0.5,21.4,21.4,31.3,31.3,,,,,,,,19,9.00112E+19,P. dentatus,0,5,CC100601040200,1,345522,762133,34.923,-76.359
9001118,120,1990,5,8,601040200,556,CC10,,,905,1,X,B,0.5,21.4,21.4,31.3,31.3,,,,,,,,19,9.00112E+19,P. albigutta,0,2,CC100601040200,1,345522,762133,34.923,-76.359
9001118,120,1990,5,8,601040200,556,CC10,,,905,1,X,B,0.5,21.4,21.4,31.3,31.3,,,,,,,,19,9.00112E+19,P. lethostigma,0,8,CC100601040200,1,345522,762133,34.923,-76.359
9001119,120,1990,5,14,602140000,556,CB17,,,1230,1,6,B,1,25,25,34.3,34.3,,,,,,,,10,9.00112E+19,Palaemonetes spp.,0,,CB170602140000,1,344351,762653,34.731,-76.448
9001119,120,1990,5,14,602140000,556,CB17,,,1230,1,6,B,1,25,25,34.3,34.3,,,,,,,,10,9.00112E+19,T. carolinense,0,,CB170602140000,1,344351,762653,34.731,-76.448
9001119,120,1990,5,14,602140000,556,CB17,,,1230,1,6,B,1,25,25,34.3,34.3,,,,,,,,10,9.00112E+19,C. sapidus,0,16,CB170602140000,1,344351,762653,34.731,-76.448
9001119,120,1990,5,14,602140000,556,CB17,,,1230,1,6,B,1,25,25,34.3,34.3,,,,,,,,10,9.00112E+19,Syngnathus spp.,0,3,CB170602140000,1,344351,762653,34.731,-76.448
9001119,120,1990,5,14,602140000,556,CB17,,,1230,1,6,B,1,25,25,34.3,34.3,,,,,,,,10,9.00112E+19,O. chrysoptera,0,8,CB170602140000,1,344351,762653,34.731,-76.448
9001119,120,1990,5,14,602140000,556,CB17,,,1230,1,6,B,1,25,25,34.3,34.3,,,,,,,,10,9.00112E+19,L. rhomboides,0,145,CB170602140000,1,344351,762653,34.731,-76.448
9001119,120,1990,5,14,602140000,556,CB17,,,1230,1,6,B,1,25,25,34.3,34.3,,,,,,,,10,9.00112E+19,L. xanthurus,0,72,CB170602140000,1,344351,762653,34.731,-76.448
9001119,120,1990,5,14,602140000,556,CB17,,,1230,1,6,B,1,25,25,34.3,34.3,,,,,,,,10,9.00112E+19,Citharichthys spp.,0,1,CB170602140000,1,344351,762653,34.731,-76.448
9001119,120,1990,5,14,602140000,556,CB17,,,1230,1,6,B,1,25,25,34.3,34.3,,,,,,,,10,9.00112E+19,P. albigutta,0,1,CB170602140000,1,344351,762653,34.731,-76.448
9001119,120,1990,5,14,602140000,556,CB17,,,1230,1,6,B,1,25,25,34.3,34.3,,,,,,,,10,9.00112E+19,S. hispidus,0,1,CB170602140000,1,344351,762653,34.731,-76.448
9001124,120,1990,5,23,537040100,556,J10,,,1001,1,X,O,1.5,17,17.3,16.2,16.2,,,,,,,,3,9.00112E+19,F. aztecus,0,33,J100537040100,1,345611,762425,34.937,-76.406
9001124,120,1990,5,23,537040100,556,J10,,,1001,1,X,O,1.5,17,17.3,16.2,16.2,,,,,,,,3,9.00112E+19,L. xanthurus,0,54,J100537040100,1,345611,762425,34.937,-76.406
9001124,120,1990,5,23,537040100,556,J10,,,1001,1,X,O,1.5,17,17.3,16.2,16.2,,,,,,,,3,9.00112E+19,M. undulatus,0,1,J100537040100,1,345611,762425,34.937,-76.406
9001126,120,1990,5,14,702000300,556,46,,,1215,1,6,O,3,25,25,26,26,,,,,,,,4,9.00113E+19,Ctenophora,0,,4.60702E+11,1,344718,763639,34.789,-76.61
9001126,120,1990,5,14,702000300,556,46,,,1215,1,6,O,3,25,25,26,26,,,,,,,,4,9.00113E+19,F. aztecus,0,1,4.60702E+11,1,344718,763639,34.789,-76.61
