"","Speciescommonname","Eventname","Year","Month","Day","Date","Location","Stationcode","Timestart","Duration","Tempsurface","Tempbottom","Salinitysurface","Salinitybottom","Sdo","Bdo","Latitudestart","Longitudestart","Depthstart","Depthend","Sedsize_new","Btmcomp_new","Photoperiod","Wbdytype","Season","Ym_date","Wbd","Depthzone","Numbertotal_new","Speciesscientificname","Sciname"
"1","atlantic croaker","0108249",2001,6,4,2001-06-04,"NEUSE RIVER","ZP81","1418",20,27.6,26.3,3.200000048,4.5,11.3,10.4,35.01670074,-76.96669769,2.400000095,2.400000095,NA,NA,14.3852101502909,"River","Spring","2001-06","NEUSE RIVER",NA,561,"micropogonias undulatus","M. undulatus"
"2","atlantic croaker","0108250",2001,6,4,2001-06-04,"NEUSE RIVER","ZV5","1613",20,25.7,25.5,10.39999962,10.69999981,7.8,7.9,34.91669846,-76.76670074,2.700000048,2.700000048,NA,NA,14.3764484857283,"River","Spring","2001-06","NEUSE RIVER",NA,825,"micropogonias undulatus","M. undulatus"
"3","atlantic croaker","0108251",2001,6,4,2001-06-04,"NEUSE RIVER","ZR9","1708",20,25.7,25.7,12.69999981,12.69999981,7.8,7.8,34.98329926,-76.69999695,5.199999809,5.199999809,NA,NA,14.3822808991175,"River","Spring","2001-06","NEUSE RIVER",NA,62,"micropogonias undulatus","M. undulatus"
"4","atlantic croaker","0108252",2001,6,4,2001-06-04,"NEUSE RIVER","ZR10","1738",20,25.7,25.6,12.69999981,12.69999981,7.5,7.5,35,-76.6832962,5.5,5.5,NA,NA,14.3837451739426,"River","Spring","2001-06","NEUSE RIVER",NA,36,"micropogonias undulatus","M. undulatus"
"5","atlantic croaker","0108253",2001,6,5,2001-06-05,"NEUSE RIVER","ZN16","0801",20,24.6,24.5,14.80000019,14.89999962,6.6,6.5,35.04999924,-76.58329773,5.5,5.5,NA,NA,14.4019001477087,"River","Spring","2001-06","NEUSE RIVER",NA,103,"micropogonias undulatus","M. undulatus"
"6","atlantic croaker","0108254",2001,6,5,2001-06-05,"PAMLICO SOUND WEST OF BLUFF SHOAL","ZK19","0856",20,24.7,24.6,15.89999962,15.89999962,6.9,7,35.09999847,-76.51670074,5.800000191,5.800000191,NA,NA,14.406322437327,"Sound","Spring","2001-06","PAMLICO SOUND","DEEP",574,"micropogonias undulatus","M. undulatus"
"7","atlantic croaker","0108255",2001,6,5,2001-06-05,"PAMLICO SOUND WEST OF BLUFF SHOAL","ZJ30","1021",20,25,24.9,18.29999924,18.29999924,7.1,7,35.11669922,-76.34999847,5.800000191,5.800000191,NA,NA,14.407800991794,"Sound","Spring","2001-06","PAMLICO SOUND","DEEP",2,"micropogonias undulatus","M. undulatus"
"8","atlantic croaker","0108256",2001,6,5,2001-06-05,"PAMLICO SOUND WEST OF BLUFF SHOAL","ZJ33","1106",20,25.2,24.9,18.29999924,18.29999924,7,7.2,35.11669922,-76.30000305,5.800000191,5.800000191,NA,NA,14.407800991794,"Sound","Spring","2001-06","PAMLICO SOUND","DEEP",21,"micropogonias undulatus","M. undulatus"
"9","atlantic croaker","0108257",2001,6,5,2001-06-05,"PAMLICO SOUND WEST OF BLUFF SHOAL","ZJ34","1139",20,25.3,24.7,18.20000076,18.10000038,6.9,7,35.13330078,-76.28330231,5.199999809,5.199999809,NA,NA,14.4092714712016,"Sound","Spring","2001-06","PAMLICO SOUND","DEEP",114,"micropogonias undulatus","M. undulatus"
"10","atlantic croaker","0108258",2001,6,5,2001-06-05,"PAMLICO SOUND WEST OF BLUFF SHOAL","ZP34","1245",20,25.9,25.6,17.89999962,17.79999924,7.6,7.7,35.03329849,-76.28330231,5.800000191,5.800000191,NA,NA,14.4004244318214,"Sound","Spring","2001-06","PAMLICO SOUND","DEEP",1,"micropogonias undulatus","M. undulatus"
