PROJECTNAME,PROJECTAGENCY,DATE,EVENTNAME,COLLECTIONNUMBER,VESSELNAME,GEARNAME,GEARCODE,TOWTYPETEXT,LOCATION,REGION,DEPTHZONE,STATIONCODE,EVENTTYPEDESCRIPTION,TEMPSURFACE,TEMPBOTTOM,SALINITYSURFACE,SALINITYBOTTOM,LIGHTPHASE,TIMESTART,TIMEZONE,DURATION,DEPTHSTART,DEPTHEND,PRESSURE,WINDSPEED,WINDDIRECTION,WAVEHEIGHT,TEMPAIR,PRECIPITATION,ESTIMATEDLOC,LATITUDESTART,LATITUDEEND,LONGITUDESTART,LONGITUDEEND,SDO,BDO,SEDSIZEDESC,BTMCOMPDESC,WEATHERDESC,WATERLVLDESC,ALTERATIONDESC,ACTIVITYDESC,NUMBERREP,ACCSPGRIDCODE,COMMENTS,LASTUPDATED
="Pamlico Sound Survey",="NCDMF",06-05-2000,="0008793",="000879300",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="NEUSE RIVER",="NORTH CAROLINA",,="ZT4",="STRATIFIED RANDOM EVENT",23.90,23.10,9.6000003810,11.19999981,="DAY",="13:04",="EDT",20,5.1999998090,5.1999998090,,10,315,,,="F",="F",34.95000076,,-76.78330231,,9,6.10,,,="100% COVER",,,,="02",="701-0029-000000",,3/1/2018 10:14:46 AM
="Pamlico Sound Survey",="NCDMF",06-05-2000,="0008793",="000879301",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="NEUSE RIVER",="NORTH CAROLINA",,="ZT4",="STRATIFIED RANDOM EVENT",23.90,23.10,9.6000003810,11.19999981,="DAY",="13:04",="EDT",20,5.1999998090,5.1999998090,,10,315,,,="F",="F",34.95000076,,-76.78330231,,9,6.10,,,="100% COVER",,,,="02",="701-0029-000000",,3/1/2018 10:14:46 AM
="Pamlico Sound Survey",="NCDMF",06-05-2000,="0008794",="000879400",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="NEUSE RIVER",="NORTH CAROLINA",,="ZQ16",="STRATIFIED RANDOM EVENT",24.10,23.10,11.89999962,12,="DAY",="14:30",="EDT",20,4.3000001910,4.3000001910,,10,270,,,="F",="F",35.01670074,,-76.58329773,,7.90,6.90,,,="100% COVER",,,,="02",="635-0029-000000",,3/1/2018 10:14:46 AM
="Pamlico Sound Survey",="NCDMF",06-05-2000,="0008794",="000879401",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="NEUSE RIVER",="NORTH CAROLINA",,="ZQ16",="STRATIFIED RANDOM EVENT",24.10,23.10,11.89999962,12,="DAY",="14:30",="EDT",20,4.3000001910,4.3000001910,,10,270,,,="F",="F",35.01670074,,-76.58329773,,7.90,6.90,,,="100% COVER",,,,="02",="635-0029-000000",,3/1/2018 10:14:46 AM
="Pamlico Sound Survey",="NCDMF",06-05-2000,="0008795",="000879501",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="NEUSE RIVER",="NORTH CAROLINA",,="ZO16",="STRATIFIED RANDOM EVENT",23.70,23.30,14.30000019,14.69999981,="DAY",="15:08",="EDT",20,6.4000000950,6.4000000950,,10,315,,,="F",="F",35.03329849,,-76.56670380,,9.30,7.20,,,="100% COVER",,,,="01",="635-0029-000000",,3/1/2018 10:14:46 AM
="Pamlico Sound Survey",="NCDMF",06-05-2000,="0008796",="000879601",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="NEUSE RIVER",="NORTH CAROLINA",,="ZN16",="STRATIFIED RANDOM EVENT",23.70,23.50,14.60000038,14.80000019,="DAY",="15:42",="EDT",20,5.50,5.50,,10,315,,,="F",="F",35.04999924,,-76.56670380,,8.10,7.70,,,="100% COVER",,,,="01",="635-0029-000000",,3/1/2018 10:14:46 AM
="Pamlico Sound Survey",="NCDMF",06-05-2000,="0008797",="000879701",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="NEUSE RIVER",="NORTH CAROLINA",,="ZN18",="STRATIFIED RANDOM EVENT",23.60,23.60,14.39999962,14.19999981,="DAY",="16:17",="EDT",20,5.50,5.50,,10,315,,,="F",="F",35.06669998,,-76.55000305,,8.50,8.60,,,="100% COVER",,,,="01",="635-0029-000000",,3/1/2018 10:14:46 AM
="Pamlico Sound Survey",="NCDMF",06-06-2000,="0008798",="000879801",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO SOUND; WEST OF BLUFF SHOAL",="NORTH CAROLINA",="DEEP",="ZJ23",="STRATIFIED RANDOM EVENT",23.30,23.30,14,14.80000019,="DAY",="08:02",="EDT",20,5.8000001910,5.8000001910,,12,270,,,="F",="F",35.11669922,,-76.44999695,,7.50,7.70,,,="100% COVER",,,,="01",="635-0034-000000",,3/1/2018 10:14:46 AM
="Pamlico Sound Survey",="NCDMF",06-06-2000,="0008799",="000879901",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO SOUND; WEST OF BLUFF SHOAL",="NORTH CAROLINA",="DEEP",="ZI20",="STRATIFIED RANDOM EVENT",23.30,23.20,14.69999981,14.80000019,="DAY",="08:39",="EDT",20,5.8000001910,5.8000001910,,12,270,,,="F",="F",35.13330078,,-76.50,,7.30,7.50,,,="100% COVER",,,,="01",="635-0034-000000",,3/1/2018 10:14:46 AM
="Pamlico Sound Survey",="NCDMF",06-06-2000,="0008800",="000880001",="R/V CAROLINA COAST",="NC TRAWL - DOUBLE RIGGED; 2 BARREL",="539",="HORIZONTAL; BOTTOM",="PAMLICO SOUND; WEST OF BLUFF SHOAL",="NORTH CAROLINA",="DEEP",="ZN29",="STRATIFIED RANDOM EVENT",23.20,23.30,15,14.89999962,="DAY",="09:38",="EDT",20,4.5999999050,4.5999999050,,15,225,,,="F",="F",35.06669998,,-76.34999847,,7.30,7.30,,,="CLEAR SKIES",,,,="01",="635-0034-000000",,3/1/2018 10:14:46 AM
