Control1,Program,Date,Year,Month,Day,Location,Grid,Secchi Depth (cm)
8793,Pamlico Sound Survey(APES),6/5/2000,2000,6,5,MOUTH TO CHERRY PT/WILKINSON PT.,ZT4,
8794,Pamlico Sound Survey(APES),6/5/2000,2000,6,5,MOUTH TO CHERRY PT/WILKINSON PT.,ZQ16,
8795,Pamlico Sound Survey(APES),6/5/2000,2000,6,5,MOUTH TO CHERRY PT/WILKINSON PT.,ZO16,
8796,Pamlico Sound Survey(APES),6/5/2000,2000,6,5,MOUTH TO CHERRY PT/WILKINSON PT.,ZN16,
8797,Pamlico Sound Survey(APES),6/5/2000,2000,6,5,MOUTH TO CHERRY PT/WILKINSON PT.,ZN18,
8798,Pamlico Sound Survey(APES),6/6/2000,2000,6,6,WEST OF BLUFF SHOAL,ZJ23,
8799,Pamlico Sound Survey(APES),6/6/2000,2000,6,6,WEST OF BLUFF SHOAL,ZI20,
8800,Pamlico Sound Survey(APES),6/6/2000,2000,6,6,WEST OF BLUFF SHOAL,ZN29,
8801,Pamlico Sound Survey(APES),6/6/2000,2000,6,6,MAULS PT/RGGD PT-GUM PT/GRRSN PT,YQ86,
8802,Pamlico Sound Survey(APES),6/6/2000,2000,6,6,GUM PT./GARRISON PT. TO MOUTH,YT7,
8803,Pamlico Sound Survey(APES),6/6/2000,2000,6,6,GUM PT./GARRISON PT. TO MOUTH,YS9,
8804,Pamlico Sound Survey(APES),6/6/2000,2000,6,6,DRNT/PNGO PT-SNDY/OFLD,YO15,
8805,Pamlico Sound Survey(APES),6/7/2000,2000,6,7,SNDY PT/O.FLD.PT-MOUTH,YR17,
8806,Pamlico Sound Survey(APES),6/7/2000,2000,6,7,SNDY PT/O.FLD.PT-MOUTH,YS17,
8807,Pamlico Sound Survey(APES),6/7/2000,2000,6,7,GUM PT./GARRISON PT. TO MOUTH,YV21,
8808,Pamlico Sound Survey(APES),6/7/2000,2000,6,7,GUM PT./GARRISON PT. TO MOUTH,YW18,
8809,Pamlico Sound Survey(APES),6/7/2000,2000,6,7,GREAT ISLAND,YX35,
8810,Pamlico Sound Survey(APES),6/7/2000,2000,6,7,WEST OF BLUFF SHOAL,YX37,
8811,Pamlico Sound Survey(APES),6/7/2000,2000,6,7,WEST OF BLUFF SHOAL,ZA35,
8812,Pamlico Sound Survey(APES),6/7/2000,2000,6,7,INNER MIDDLE GROUND,ZC33,
8813,Pamlico Sound Survey(APES),6/8/2000,2000,6,8,WEST OF BLUFF SHOAL,ZO40,
8814,Pamlico Sound Survey(APES),6/8/2000,2000,6,8,WEST OF BLUFF SHOAL,ZK36,
8815,Pamlico Sound Survey(APES),6/8/2000,2000,6,8,WEST OF BLUFF SHOAL,ZJ35,
8816,Pamlico Sound Survey(APES),6/8/2000,2000,6,8,INNER MIDDLE GROUND,ZC36,
8817,Pamlico Sound Survey(APES),6/8/2000,2000,6,8,WEST OF BLUFF SHOAL,ZA38,
8818,Pamlico Sound Survey(APES),6/8/2000,2000,6,8,E. OF BLUFF TO LONG SH./RODAN.,YY50,
8819,Pamlico Sound Survey(APES),6/8/2000,2000,6,8,WEST OF BLUFF SHOAL,ZG41,
8820,Pamlico Sound Survey(APES),6/13/2000,2000,6,13,BLUFF SHOAL,ZG45,
8821,Pamlico Sound Survey(APES),6/13/2000,2000,6,13,E. OF BLUFF TO LONG SH./RODAN.,ZD56,
8822,Pamlico Sound Survey(APES),6/13/2000,2000,6,13,E. OF BLUFF TO LONG SH./RODAN.,ZC60,
8823,Pamlico Sound Survey(APES),6/13/2000,2000,6,13,E. OF BLUFF TO LONG SH./RODAN.,ZA63,
8824,Pamlico Sound Survey(APES),6/13/2000,2000,6,13,E. OF BLUFF TO LONG SH./RODAN.,YX69,
8825,Pamlico Sound Survey(APES),6/13/2000,2000,6,13,E. OF BLUFF TO LONG SH./RODAN.,YV71,
8826,Pamlico Sound Survey(APES),6/13/2000,2000,6,13,E. OF BLUFF TO LONG SH./RODAN.,YS77,
8827,Pamlico Sound Survey(APES),6/13/2000,2000,6,13,E. OF BLUFF TO LONG SH./RODAN.,YP74,
