"","lat_lon","gridID","dist_inlets"
"1","33.97167_-77.92417",69,12837.0232602405
"2","34.03306_-77.94389",68,8384.0435774641
"3","34.04389_-77.93333",68,6892.24818019598
"4","34.0025_-77.91972",69,9554.71400561655
"5","33.96694_-77.93611",68,13411.3620121868
"6","33.99361_-77.93333",68,11034.0669897619
"7","34.05083_-77.94361",98,7341.45340554523
"8","34.13889_-77.95694",128,10365.842680742
"9","34.07778_-77.94139",98,6463.10202326521
"10","34.13167_-77.95472",128,9701.79907337479
"11","34.08111_-77.94111",98,6443.55225250243
"12","34.14194_-77.9575",128,10627.249770406
"13","34.06861_-77.94167",98,6580.40979007255
"14","34.06389_-77.92278",99,5017.4508659159
"15","33.88278_-77.98889",8,3598.5582214145
"16","33.91_-77.97944",38,6008.41927582275
"17","34.165_-77.95694",128,12445.2766575387
"18","33.96444_-77.95583",68,12137.8451876141
"19","34.00333_-77.93083",68,9996.9623454256
"20","34.125_-77.95222",98,9078.2710842005
"21","33.905_-78.02972",38,3699.81336385594
"22","33.95361_-77.97306",38,10298.2485417001
"23","34.15139_-77.94417",128,10530.1353809327
"24","34.10167_-77.94722",98,7459.72219913603
"25","34.08972_-77.92556",99,5158.90522555209
"26","33.96972_-77.955",68,12678.4747806434
"27","34.12417_-77.92583",99,7150.43806792606
"28","34.05417_-77.94222",98,7075.36417435527
"29","34.06278_-77.94111",98,6669.08956039222
"30","34.04722_-77.92222",99,5842.06415477002
"31","33.99722_-77.9325",68,10652.095620828
"32","32.04444_-77.945",NA,203343.998325578
"33","34.09444_-77.92667",99,5407.15781783428
"34","34.04139_-77.92222",69,6249.30501857727
"35","33.96278_-77.95694",38,11927.0773675769
"36","33.98944_-77.93944",68,11725.0818703957
"37","33.96611_-77.97056",68,11641.683972268
"38","34.0225_-77.91889",69,7615.33543777567
"39","34.13722_-77.93583",128,8836.88795671754
"40","34.08472_-77.94333",98,6677.5747795445
"41","34.12056_-77.95139",98,8741.6547733299
"42","34.13889_-77.95639",128,10327.3428536072
"43","33.96_-77.95778",38,11624.4748479129
"44","33.99806_-77.93167",68,10532.3502204499
"45","34.00417_-77.93639",68,10211.6265957671
"46","34.02639_-77.93389",68,8175.89687997142
"47","34.11361_-77.9325",98,6864.80663029795
"48","34.11389_-77.9425",98,7655.6781672268
"49","34.10556_-77.92972",99,6173.08576407468
"50","34.085_-77.92361",99,4879.59495179172
"51","34.06222_-77.94111",98,6685.64894478634
"52","34.13028_-77.95472",128,9608.35207419793
"53","34.04667_-77.93333",98,6724.71081176671
"54","33.99083_-77.93722",68,11485.2590644169
"55","33.90722_-77.99722",38,4720.75951291414
"56","33.95528_-77.9775",38,10278.9594878942
"57","33.92194_-77.97417",38,7313.76903194337
"58","34.00333_-77.9375",68,10347.3716430522
"59","33.96556_-77.97083",68,11575.7925066959
"60","34.09111_-77.94528",98,6964.17493973737
"61","34.14639_-77.95972",128,11111.0405810546
"62","34.07667_-77.92556",99,5008.6728432917
"63","33.99389_-77.93444",68,11060.979883676
"64","34.05944_-77.92056",99,5012.24184523878
