"","lat_lon","gridID"
"9027","33.917_-78.36",3
"9029","33.934_-78.362",3
"15","33.89972_-78.02528",5
"30","33.88722_-77.99222",5
"418","33.89806_-78.02833",5
"1098","33.905_-78.02972",5
"1781","33.90722_-77.99722",5
"1790","33.9125_-78.00417",5
"2464","33.91194_-78.00028",5
"3843","33.88889_-77.99167",5
"6420","33.92639_-77.9975",5
"6425","33.91111_-78.00556",5
"6439","33.9075_-78.00639",5
"6441","33.90611_-78.03028",5
"6447","33.88361_-77.99417",5
"6448","33.92667_-77.99722",5
"6450","33.90583_-78.03056",5
"7111","33.89861_-78.02389",5
"7112","33.89972_-78.02639",5
"7137","33.92556_-77.99917",5
"7138","33.92833_-77.99556",5
"7139","33.90611_-77.99167",5
"7140","33.90611_-77.99139",5
"7153","33.91917_-78.01167",5
"7154","33.92139_-78.00694",5
"7170","33.90944_-78.03444",5
"7171","33.90694_-78.03083",5
"7876","33.90806_-78.03306",5
"7877","33.90722_-78.03194",5
"7893","33.89806_-78.02722",5
"7894","33.89861_-78.02694",5
"8270","33.9075_-78.0325",5
"8286","33.91083_-78.03472",5
"8292","33.89917_-78.02583",5
"8305","33.88_-78.00361",5
"8306","33.87694_-77.99694",5
"8927","33.89917_-78.02361",5
"3","33.935_-77.97444",6
"24","33.90917_-77.9825",6
"433","33.92222_-77.97556",6
"438","33.9225_-77.96861",6
"1091","33.88278_-77.98889",6
"1092","33.91_-77.97944",6
"1782","33.92194_-77.97417",6
"1791","33.88472_-77.98361",6
"1800","33.89139_-77.99",6
"2463","33.93417_-77.98917",6
"3151","33.92056_-77.97083",6
"3152","33.94_-77.98639",6
"3842","33.90944_-77.96806",6
"5155","33.94139_-77.98639",6
"6427","33.88333_-77.985",6
"6436","33.93861_-77.98833",6
"6445","33.91361_-77.975",6
"7105","33.88111_-77.98833",6
"7106","33.88139_-77.98917",6
"7108","33.94361_-77.94861",6
"7135","33.91417_-77.97194",6
"7136","33.91361_-77.96833",6
"7866","33.94444_-77.9475",6
"7867","33.94611_-77.94806",6
"7870","33.91722_-77.97667",6
"7871","33.92028_-77.97667",6
"7881","33.94639_-77.94833",6
"7882","33.94306_-77.94778",6
"7883","33.91417_-77.97083",6
"7884","33.91361_-77.96917",6
"8256","33.94611_-77.94833",6
"8275","33.91639_-77.97611",6
"8276","33.91639_-77.97639",6
"8277","33.94611_-77.94889",6
"8278","33.94528_-77.94944",6
"8301","33.91167_-77.96639",6
"8302","33.90889_-77.96306",6
"8950","33.956_-78.364",23
"2","34.06667_-77.93056",26
"5","33.99222_-77.92472",26
"6","33.99111_-77.93889",26
"7","34.06306_-77.92278",26
"9","34.07333_-77.94111",26
"11","34.08667_-77.94444",26
"12","34.04583_-77.92389",26
"14","34.05056_-77.93556",26
"16","33.94833_-77.94861",26
"17","33.98889_-77.92722",26
"21","34.005_-77.92333",26
"22","34.04694_-77.93611",26
"25","34.04056_-77.93333",26
"27","34.03278_-77.91917",26
"28","34.06333_-77.92944",26
"29","33.98667_-77.92167",26
"400","34.04222_-77.94306",26
"401","34.07444_-77.92417",26
"403","34.00306_-77.93083",26
"404","33.97278_-77.94",26
"405","34.06083_-77.92083",26
"406","34.07694_-77.94",26
"409","34.03806_-77.91944",26
"410","34.06806_-77.94111",26
"411","34.06306_-77.9325",26
"414","34.06278_-77.94056",26
"415","34.00222_-77.93806",26
"416","33.98_-77.95444",26
"419","34.06556_-77.92889",26
"421","33.97528_-77.94083",26
"422","33.95444_-77.97944",26
"423","34.06722_-77.94139",26
"426","34.04417_-77.93639",26
"427","34.06194_-77.92222",26
"429","34.03611_-77.94306",26
"430","33.97667_-77.95639",26
"432","34.04556_-77.945",26
"434","34.07361_-77.92444",26
"437","33.99722_-77.93917",26
"1077","33.97167_-77.92417",26
"1078","34.03306_-77.94389",26
"1079","34.04389_-77.93333",26
"1080","34.0025_-77.91972",26
"1081","33.99361_-77.93333",26
"1082","33.96694_-77.93611",26
"1084","34.05083_-77.94361",26
"1085","34.07778_-77.94139",26
"1087","34.08111_-77.94111",26
"1089","34.06389_-77.92278",26
"1090","34.06861_-77.94167",26
"1094","33.96444_-77.95583",26
"1095","34.00333_-77.93083",26
"1097","33.95361_-77.97306",26
"1101","34.08972_-77.92556",26
"1102","33.96972_-77.955",26
"1103","34.05417_-77.94222",26
