Speciescode,Speciescommonname
6189020801,atlantic mud crab
8747010601,round herring
8857030306,braod flounder
6183060230,longwrist hermit
8835400101,tomtate
6186020105,nodose boxcrab
8835280102,rough scad
8858030301,naked sole
8850030202,atlantic bonito
8835430401,spottail pinfish
8835441206,cubbyu
8835360501,vermilion snapper
8713050105,atlantic stingray
8783010201,oyster toadfish
8857030205,shelf flounder
6183120104,banded porcelain crab
8842010501,crested blenny
8803020201,atlantic needlefish
8835441202,jackknife-fish
8835030204,whitespotted soapfish
8783010203,leopard toadfish
8835260101,cobia
6187020102,rough elbow crab
8835280705,atlantic moonfish
8835170102,glasseye snapper
8826020113,bandtail searobin
8835270201,sharksucker
6187011801,false arrow crab
8842010202,freckled blenny
8850030301,atlantic chub mackerel
8708030103,scalloped hammerhead
8826010605,barbfish
6191010401,unnamed mantis shrimp
6183130201,beach mole crab
8826020117,bluespotted searobin
8835020501,gag
8835400102,white grunt
8861010208,southern puffer
8835280301,yellow jack
6179140602,speckled snapping shrimp
8835280901,florida pompano
8835280202,threadfin
6187011902,shortfinger neck crab
8835280701,lookdown
8835280601,bigeye scad
8861010101,smooth puffer
8835360112,lane snapper
6189010602,sargassum swimming crab
8708020504,blacknose shark
8835441101,sand drum
8839010802,pearly razorfish
8839010702,slippery dick
8835360107,red snapper
8835020305,rock sea bass
6179140102,green snapping shrimp
8707030101,sand tiger
8713050201,spiny butterfly ray
8835280303,crevalle jack
8820020109,bull pipefish
6179161101,peppermint shrimp
6187012102,florida decorator crab
6187012503,NA
6189021401,plumed hairy crab
8839010703,painted wrasse
6177010701,seabob
8835440901,red drum
8839010101,tautog
8835440801,black drum
8713120101,lesser electric ray
8747010803,scaled sardine
8787040105,roughback batfish
8747010404,yellowfin menhaden
8787040106,polka-dot batfish
9002040401,kemp's ridley sea turtle
8708020503,sandbar shark
6183120502,spotted porcelain crab
8820020103,northern pipefish
8707040401,thresher shark
8747010102,blueback herring
6179140105,striped snapping shrimp
6187011003,unnamed crab
8747010502,threadfin shad
8835280501,leatherjacket
8842012501,seaweed blenny
8708020501,dusky shark
6189020601,smooth mud crab
6189020901,harris mud crab
8708020507,blacktip shark
6186020102,yellow box crab
8787040110,palefin batfish
8741131001,shrimp eel
8787020202,ocellated frogfish
8738010101,ladyfish
8713080202,devil ray
8708020531,finetooth shark
8836010102,white mullet
8847010503,highfin goby
8741130802,speckled worm eel
6187014501,channelnose spider crab
6189021201,beaded mud crab
6187011903,longfinger neck crab
6187012501,coral clinging crab
6187011301,cryptic teardrop crab
6185020101,granulate shellback crab
8784010102,skilletfish
6183160201,thinstripe hermit
8710010201,spiny dogfish
8835380101,tripletail
8835440102,spotted seatrout
8835280308,bar jack
6189050402,carolinian squareback cr
9002040201,green sea turtle
8707100101,nurse shark
6186020104,lumpy box crab
9002050101,pacific leatherback turt
8836010101,striped mullet
8729010105,atlantic sturgeon
6189022201,eroded mud crab
6189021501,rough rubble crab
8835170101,bigeye
8850030302,atlantic mackerel
6183060227,brown banded hermit crab
6189060405,tube pea crab
8850030503,painted mackerel
6183120103,green porcelain crab
8708020530,spinner shark
6183160104,blue-spot hermit crab
5802010101,horseshoe crab
8860020103,unicorn filefish
6185020105,rough shellback crab
8738020201,tarpon
8786010101,goosefish
8851020403,bluefin driftfish
6189060701,polkadotted pea crab
8747010101,american shad
6189060414,unnamed pea crab
8803010302,american halfbeak
8792010605,crested cusk-eel
8787020203,singlespot frogfish
8847010603,code goby
8858030202,lined sole
8805020301,tidewater silverside
8803020101,flat needlefish
8842090307,hairy blenny
8820020102,bermuda dusky pipefish
8787040109,longnose batfish
3737040301,cannonball jelly
6189020501,flatback mud crab
6189070701,gulfweed crab
8713040124,rosette skate
8835270202,whitefin sharksucker
8713030102,atlantic torpedo
8787040101,longnose batfish
6183120401,eastern tube crab
8857030202,smallmouth flounder
6189011101,indo-pacific swimming crab
8713040116,winter skate
6191030302,coronis scolopendra
8861030201,porcupinefish
8861040101,ocean sunfish
8851010201,barrelfish
8835020401,jewfish
8791040101,silver hake
8747010501,gizzard shad
8840140301,lancer stargazer
8741130901,spotted spoon-nose eel
8835440106,sand seatrout
6187020601,cryptopodia concava
8741130601,sailfin eel
8713050401,smooth butterfly ray
6187020801,smooth elbow crab
8777020101,white catfish
8835020102,striped bass
8835200201,yellow perch
8776040400,suckers (redhorse)
8747010105,alewife
8835020101,white perch
8747010103,hickory shad
8835160602,largemouth bass
8758010103,chain pickerel
8858010101,hogchoker flounder
8776010101,common carp
8734010101,bowfin
8835160702,black crappie
8776010601,golden shiner
8777020103,yellow bullhead catfish
8777020105,channel catfish
8732010101,longnose gar
8777020102,blue catfish
8835160505,pumpkinseed sunfish
8777020104,Bullhead brown catfish
8776040000,suckers
