Speciescommonname,Sciname
alewife,A. psuedoharengus
american shad,A. sapidissima
atlantic angel shark,S. dumeril
atlantic croaker,M. undulatus
atlantic silverside,M. menidia
atlantic thread herring,O. oglinum
black drum,P. cromis
blacktip shark,C. limbatus
blue catfish,I. furcatus
blue crab,C. sapidus
bonnethead shark,S. tiburo
brown shrimp,F. aztecus
bull shark,C. leucas
channel catfish,I. punctatus
cownose ray,R. bonasus
eastern oyster,C. virginica
gizzard shad,D. cepedianum
hickory shad,A. mediocris
atlantic menhaden,B. tyrannus
oyster toadfish,O. tau
red drum,S. ocellatus
sandbar shark,C. plumbeus(milberti)
scalloped hammerhead,S. lewini
atlantic sharpnose shark,R. terraenovae
sheepshead,A. probatoceaphalus
silver perch,B. bidyanus
silversides,Atheriniformes
southern flounder,P. lethostigma
southern kingfish,M. americanus
spot,L. xanthurus
striped bass,M. saxatilis
striped mullet,M. cephalus
summer flounder,P. dentatus
white mullet,M. curema
white shrimp,L. setiferus
spotted seatrout,C. nebulosus
pinfish,L. rhomboides
bluefish,P. saltatrix
sheepshead,A. probatocephalus
