SPECIESSCIENTIFICNAME,SPECIESCOMMONNAME,SpeciesCommonNameNew,Habitat,OtherCategory,GENUS,SPECIES,Species 2,Species,Identifier
ACIPENSER OXYRINCHUS,ATLANTIC STURGEON,Atlantic Sturgeon,Demersal,,A, OXYRINCHUS,A. oxyrinchus,A. oxyrinchus,A
AETOBATUS NARINARI,SPOTTED EAGLE RAY,Spotted Eagle Ray,Pelagic,Elasmobranchs,A, NARINARI,A. narinari,A. narinari,A
ALECTIS CILIARIS,THREADFIN,African Pompano,Demersal,,A, CILIARIS,A. ciliaris,A. ciliaris,A
ALOSA AESTIVALIS,BLUEBACK HERRING,Blueback Herring,Pelagic,Forage Fishes,A, AESTIVALIS,A. aestivalis,A. aestivalis,A
ALOSA MEDIOCRIS,HICKORY SHAD,Hickory Shad,Pelagic,Forage Fishes,A, MEDIOCRIS,A. mediocris,A. mediocris,A
ALOSA PSEUDOHARENGUS,ALEWIFE,Alewife,Pelagic,Forage Fishes,A, PSEUDOHARENGUS,A. pseudoharengus,A. pseudoharengus,A
ALOSA SAPIDISSIMA,AMERICAN SHAD,American Shad,Pelagic,Forage Fishes,A, SAPIDISSIMA,A. sapidissima,A. sapidissima,A
ALPHEIDAE SPP,SNAPPING SHRIMPS,Snapping Shrimps,Demersal,Crustacean,A, SPP,A. spp,Alpheidae,A
ALPHEUS HETEROCHAELIS,BIGCLAW SNAPPING SHRIMP,Bigclaw Snapping Shrimp,Demersal,Crustacean,A, HETEROCHAELIS,A. heterochaelis,A. heterochaelis,A
ALUTERUS SPP,FILEFISHES,Filefishes,Demersal,,A, SPP,A. spp,Aluterus spp.,A
ALUTERUS SCHOEPFII,ORANGE FILEFISH,Orange Filefish,Demersal,,A, SCHOEPFII,A. schoepfii,A. schoepfii,A
ALUTERUS SCRIPTUS,SCRAWLED FILEFISH,Scrawled Filefish,Demersal,,A, SCRIPTUS,A. scriptus,A. scriptus,A
AMEIURUS CATUS,WHITE CATFISH,White Catfish,Demersal,,A, CATUS,A. catus,A. catus,A
AMEIURUS NATALIS,YELLOW BULLHEAD,Yellow Bullhead,Demersal,,A, NATALIS,A. natalis,A. natalis,A
AMEIURUS NEBULOSUS,BROWN BULLHEAD,Brown Bullhead,Demersal,,A, NEBULOSUS,A. nebulosus,A. nebulosus,A
ANCHOA SPP,ANCHOVIES,Anchovies,Pelagic,Forage Fishes,A, SPP,A. spp,Anchoa spp.,A
ANCHOA HEPSETUS,STRIPED ANCHOVY,Striped Anchovy,Pelagic,Forage Fishes,A, HEPSETUS,A. hepsetus,A. hepsetus,A
ANCHOA MITCHILLI,BAY ANCHOVY,Bay Anchovy,Pelagic,Forage Fishes,A, MITCHILLI,A. mitchilli,A. mitchilli,A
ANGUILLA ROSTRATA,AMERICAN EEL,American Eel,Demersal,,A, ROSTRATA,A. rostrata,A. rostrata,A
ANOMURA SPP,,Crustaceans,Demersal,Crustacean,A, SPP,A. spp,Anomura spp.,A
ARCHOSARGUS PROBATOCEPHALUS,SHEEPSHEAD,Sheepshead,Demersal,,A, PROBATOCEPHALUS,A. probatocephalus,A. probatocephalus,A
ARENAEUS CRIBRARIUS,SPECKLED SWIMMING CRAB,Speckled Swimming Crab,Demersal,Crustacean,A, CRIBRARIUS,A. cribrarius,A. cribrarius,A
