"","lat_lon","gridID"
"29096","33.934_-78.362",3
"29097","33.917_-78.36",3
"5908","33.89972_-78.02528",5
"6189","33.88722_-77.99222",5
"6554","33.89806_-78.02833",5
"7317","33.905_-78.02972",5
"7928","33.90722_-77.99722",5
"8118","33.9125_-78.00417",5
"8772","33.91194_-78.00028",5
"10357","33.88889_-77.99167",5
"12586","33.92639_-77.9975",5
"12678","33.91111_-78.00556",5
"12959","33.9075_-78.00639",5
"12989","33.90611_-78.03028",5
"13081","33.88361_-77.99417",5
"13092","33.92667_-77.99722",5
"13134","33.90583_-78.03056",5
"13433","33.89861_-78.02389",5
"13434","33.89972_-78.02639",5
"13692","33.92556_-77.99917",5
"13693","33.92833_-77.99556",5
"13720","33.90611_-77.99167",5
"13721","33.90611_-77.99139",5
"13883","33.91917_-78.01167",5
"13884","33.92139_-78.00694",5
"14044","33.90944_-78.03444",5
"14045","33.90694_-78.03083",5
"14344","33.90806_-78.03306",5
"14345","33.90722_-78.03194",5
"14513","33.89806_-78.02722",5
"14514","33.89861_-78.02694",5
"14792","33.9075_-78.0325",5
"14983","33.91083_-78.03472",5
"15072","33.90917_-77.99528",5
"15073","33.90861_-77.99556",5
"15094","33.89917_-78.02583",5
"15095","33.89917_-78.02361",5
"15239","33.88_-78.00361",5
"15240","33.87694_-77.99694",5
"20548","33.89972_-78.0253",5
"20801","33.88722_-77.9922",5
"21110","33.89806_-78.0283",5
"21790","33.905_-78.0297",5
"22339","33.90722_-77.9972",5
"22510","33.9125_-78.0042",5
"23106","33.91194_-78.0003",5
"24489","33.88889_-77.9917",5
"26580","33.91111_-78.0056",5
"26827","33.9075_-78.0064",5
"26853","33.90611_-78.0303",5
"26933","33.88361_-77.9942",5
"26944","33.92667_-77.9972",5
"26984","33.90583_-78.0306",5
"27241","33.89861_-78.0239",5
"27242","33.89972_-78.0264",5
"27474","33.92556_-77.9992",5
"27475","33.92833_-77.9956",5
"27499","33.90611_-77.9917",5
"27500","33.90611_-77.9914",5
"27638","33.91917_-78.0117",5
"27639","33.92139_-78.0069",5
"27784","33.90944_-78.0344",5
"27785","33.90694_-78.0308",5
"28057","33.90806_-78.0331",5
"28058","33.90722_-78.0319",5
"28204","33.89806_-78.0272",5
"28205","33.89861_-78.0269",5
"28622","33.91083_-78.0347",5
"28702","33.90917_-77.9953",5
"28703","33.90861_-77.9956",5
"28722","33.89917_-78.0258",5
"28723","33.89917_-78.0236",5
"28850","33.88_-78.0036",5
"28851","33.87694_-77.9969",5
"5540","33.935_-77.97444",6
"6051","33.90917_-77.9825",6
"6831","33.92222_-77.97556",6
"6907","33.9225_-77.96861",6
"7209","33.88278_-77.98889",6
"7210","33.91_-77.97944",6
"7974","33.92194_-77.97417",6
"8125","33.88472_-77.98361",6
"8284","33.89139_-77.99",6
"8771","33.93417_-77.98917",6
"9337","33.92056_-77.97083",6
"9338","33.94_-77.98639",6
"10356","33.90944_-77.96806",6
"11430","33.94139_-77.98639",6
"12721","33.88333_-77.985",6
"12895","33.93861_-77.98833",6
"13044","33.91361_-77.975",6
"13368","33.88111_-77.98833",6
"13369","33.88139_-77.98917",6
"13405","33.94361_-77.94861",6
"13644","33.91417_-77.97194",6
"13645","33.91361_-77.96833",6
"14227","33.94444_-77.9475",6
"14228","33.94611_-77.94806",6
"14275","33.91722_-77.97667",6
"14276","33.92028_-77.97667",6
"14400","33.94639_-77.94833",6
"14401","33.94306_-77.94778",6
"14405","33.91417_-77.97083",6
"14406","33.91361_-77.96917",6
"14657","33.94611_-77.94833",6
"14845","33.91639_-77.97611",6
"14846","33.91639_-77.97639",6
