"","lat_lon","gridID"
"189","33.88889_-77.99167",75
"337","33.88361_-77.99417",75
"406","33.89806_-78.02722",75
"436","33.88722_-77.99222",75
"456","33.89806_-78.02833",75
"15","33.88278_-77.98889",76
"66","33.88472_-77.98361",76
"75","33.89139_-77.99",76
"317","33.88333_-77.985",76
"350","33.88111_-77.98833",76
"21","33.905_-78.02972",135
"55","33.90722_-77.99722",135
"65","33.9125_-78.00417",135
"102","33.91194_-78.00028",135
"310","33.92639_-77.9975",135
"315","33.91111_-78.00556",135
"329","33.9075_-78.00639",135
"331","33.90611_-78.03028",135
"338","33.92667_-77.99722",135
"340","33.90583_-78.03056",135
"353","33.89861_-78.02389",135
"366","33.92556_-77.99917",135
"367","33.90611_-77.99167",135
"375","33.91917_-78.01167",135
"383","33.90944_-78.03444",135
"398","33.90806_-78.03306",135
"422","33.89972_-78.02528",135
"16","33.91_-77.97944",136
"57","33.92194_-77.97417",136
"101","33.93417_-77.98917",136
"132","33.94_-77.98639",136
"133","33.92056_-77.97083",136
"188","33.90944_-77.96806",136
"250","33.94139_-77.98639",136
"326","33.93861_-77.98833",136
"335","33.91361_-77.975",136
"365","33.91417_-77.97194",136
"393","33.94444_-77.9475",136
"395","33.91722_-77.97667",136
"400","33.94639_-77.94833",136
"401","33.91417_-77.97083",136
"409","33.935_-77.97444",136
"430","33.90917_-77.9825",136
"471","33.92222_-77.97556",136
"475","33.9225_-77.96861",136
"5","33.96694_-77.93611",196
"6","33.99361_-77.93333",196
"18","33.96444_-77.95583",196
"22","33.95361_-77.97306",196
"26","33.96972_-77.955",196
"35","33.96278_-77.95694",196
"36","33.98944_-77.93944",196
"37","33.96611_-77.97056",196
"43","33.96_-77.95778",196
"54","33.99083_-77.93722",196
"56","33.95528_-77.9775",196
"59","33.96556_-77.97083",196
"63","33.99389_-77.93444",196
"77","33.99306_-77.93444",196
"86","33.97194_-77.93056",196
"113","33.99111_-77.93583",196
"120","33.96611_-77.93694",196
"164","33.95528_-77.96639",196
"178","33.97194_-77.96528",196
"180","33.96556_-77.9375",196
"220","33.99361_-77.93389",196
"223","33.95722_-77.96833",196
"232","33.96583_-77.95889",196
"239","33.99389_-77.93417",196
"259","33.95389_-77.96778",196
