"","lat_lon","gridID"
"15","33.88278_-77.98889",8
"66","33.88472_-77.98361",8
"75","33.89139_-77.99",8
"189","33.88889_-77.99167",8
"317","33.88333_-77.985",8
"337","33.88361_-77.99417",8
"350","33.88111_-77.98833",8
"406","33.89806_-78.02722",8
"436","33.88722_-77.99222",8
"456","33.89806_-78.02833",8
"13036","33.934_-78.362",35
"13037","33.917_-78.36",35
"13038","33.956_-78.364",35
"13039","33.972_-78.379",35
"5","33.96694_-77.93611",38
"6","33.99361_-77.93333",38
"16","33.91_-77.97944",38
"18","33.96444_-77.95583",38
"21","33.905_-78.02972",38
"22","33.95361_-77.97306",38
"26","33.96972_-77.955",38
"35","33.96278_-77.95694",38
"36","33.98944_-77.93944",38
"37","33.96611_-77.97056",38
"43","33.96_-77.95778",38
"54","33.99083_-77.93722",38
"55","33.90722_-77.99722",38
"56","33.95528_-77.9775",38
"57","33.92194_-77.97417",38
"59","33.96556_-77.97083",38
"63","33.99389_-77.93444",38
"65","33.9125_-78.00417",38
"77","33.99306_-77.93444",38
"86","33.97194_-77.93056",38
"101","33.93417_-77.98917",38
"102","33.91194_-78.00028",38
"113","33.99111_-77.93583",38
"120","33.96611_-77.93694",38
"132","33.94_-77.98639",38
"133","33.92056_-77.97083",38
"164","33.95528_-77.96639",38
"178","33.97194_-77.96528",38
"180","33.96556_-77.9375",38
"188","33.90944_-77.96806",38
"220","33.99361_-77.93389",38
"223","33.95722_-77.96833",38
"232","33.96583_-77.95889",38
"239","33.99389_-77.93417",38
"250","33.94139_-77.98639",38
"259","33.95389_-77.96778",38
"277","33.96389_-77.95611",38
"291","33.95444_-77.96639",38
"296","33.96_-77.95722",38
"306","33.96778_-77.95528",38
"310","33.92639_-77.9975",38
"311","33.95222_-77.97444",38
"315","33.91111_-78.00556",38
"321","33.95278_-77.97389",38
"326","33.93861_-77.98833",38
"329","33.9075_-78.00639",38
"331","33.90611_-78.03028",38
"335","33.91361_-77.975",38
"338","33.92667_-77.99722",38
"340","33.90583_-78.03056",38
"349","33.96472_-77.93944",38
"351","33.94722_-77.94889",38
"353","33.89861_-78.02389",38
"363","33.95361_-77.96833",38
"365","33.91417_-77.97194",38
"366","33.92556_-77.99917",38
"367","33.90611_-77.99167",38
"371","33.96639_-77.93639",38
"374","33.94806_-77.98278",38
"375","33.91917_-78.01167",38
"382","33.95583_-77.96472",38
"383","33.90944_-78.03444",38
"392","33.96722_-77.93583",38
"393","33.94444_-77.9475",38
"395","33.91722_-77.97667",38
"398","33.90806_-78.03306",38
"400","33.94639_-77.94833",38
"401","33.91417_-77.97083",38
"405","33.96278_-77.94",38
"409","33.935_-77.97444",38
"411","33.99111_-77.93889",38
"421","33.94833_-77.94861",38
"422","33.89972_-78.02528",38
"430","33.90917_-77.9825",38
"441","33.97278_-77.94",38
"448","33.99111_-77.93972",38
"454","33.98_-77.95444",38
"459","33.97528_-77.94083",38
"460","33.95444_-77.97944",38
"468","33.97667_-77.95639",38
"471","33.92222_-77.97556",38
"475","33.9225_-77.96861",38
"1","33.97167_-77.92417",39
"69","33.9925_-77.92528",39
"155","33.97972_-77.9225",39
"206","33.97861_-77.92333",39
"270","33.97417_-77.92194",39
"322","33.97167_-77.92083",39
"345","33.98083_-77.92139",39
"358","33.97194_-77.92667",39
"362","33.98861_-77.92222",39
"368","33.97306_-77.92444",39
"412","33.99222_-77.92472",39
"424","33.98889_-77.92722",39
"435","33.98667_-77.92167",39
"13028","33.982_-77.922",39
"2","34.03306_-77.94389",68
"3","34.04389_-77.93333",68
"7","34.05083_-77.94361",68
"9","34.07778_-77.94139",68
"11","34.08111_-77.94111",68
"13","34.06861_-77.94167",68
"19","34.00333_-77.93083",68
"28","34.05417_-77.94222",68
"29","34.06278_-77.94111",68
"31","33.99722_-77.9325",68
"40","34.08472_-77.94333",68
"44","33.99806_-77.93167",68
"45","34.00417_-77.93639",68
"46","34.02639_-77.93389",68
"51","34.06222_-77.94111",68
"53","34.04667_-77.93333",68
"58","34.00333_-77.9375",68
"70","34.00417_-77.93667",68
"76","34.02917_-77.94361",68
"89","34.04944_-77.93194",68
"90","34.08028_-77.94167",68
"94","34.04528_-77.93333",68
"95","34.05222_-77.94278",68
"103","34.00306_-77.93083",68
"107","33.99778_-77.93167",68
"111","34.07611_-77.94139",68
"115","34.05556_-77.94139",68
"119","34.08167_-77.94",68
"125","34.06889_-77.97472",68
"128","34.04611_-77.93361",68
"129","34.06444_-77.94139",68
"134","34.04694_-77.93389",68
"142","34.05056_-77.94389",68
"147","34_-77.93778",68
"149","34.06806_-77.94083",68
"152","33.99528_-77.93361",68
"161","34.00167_-77.93722",68
"162","34.06278_-77.94056",68
"165","33.99972_-77.93222",68
"176","34.02056_-77.93194",68
"179","34.06222_-77.94056",68
"181","33.99528_-77.93306",68
"193","34.06306_-77.94194",68
"194","34.0025_-77.93694",68
"195","34.05028_-77.94417",68
"201","34.00083_-77.93167",68
"209","34.08694_-77.94083",68
"212","34.04583_-77.94472",68
"213","34.005_-77.93361",68
"227","34.05361_-77.9425",68
"247","34.07389_-77.94056",68
"249","34.04389_-77.9325",68
"253","34.075_-77.94083",68
"260","34.04306_-77.94444",68
"263","33.99639_-77.93333",68
"264","34.07472_-77.94083",68
"269","34.0325_-77.98611",68
"273","33.99694_-77.9325",68
"278","34.00167_-77.98583",68
"280","34.06861_-77.94111",68
"287","34.00167_-77.9375",68
"295","34.00056_-77.93167",68
"300","34.04611_-77.94528",68
"302","34.08639_-77.94083",68
"309","33.9975_-77.93833",68
"316","34.05361_-77.94222",68
"324","34.04417_-77.9325",68
"332","34.04694_-77.94528",68
"333","34.07194_-77.93139",68
"334","34.05028_-77.94361",68
"347","34.00167_-77.93139",68
"361","33.99444_-77.93389",68
"370","34.07361_-77.94139",68
"372","34.00472_-77.93083",68
"376","34.04944_-77.93306",68
"379","33.99944_-77.9375",68
"381","34.04611_-77.945",68
"399","34.085_-77.94028",68
"407","34.06667_-77.93056",68
"416","34.07333_-77.94111",68
"417","34.08667_-77.94444",68
"420","34.05056_-77.93556",68
