"","lat_lon","gridID"
"13036","33.934_-78.362",3
"13037","33.917_-78.36",3
"13038","33.956_-78.364",3
"13039","33.972_-78.379",3
"5","33.96694_-77.93611",4
"6","33.99361_-77.93333",4
"15","33.88278_-77.98889",4
"16","33.91_-77.97944",4
"18","33.96444_-77.95583",4
"21","33.905_-78.02972",4
"22","33.95361_-77.97306",4
"26","33.96972_-77.955",4
"35","33.96278_-77.95694",4
"36","33.98944_-77.93944",4
"37","33.96611_-77.97056",4
"43","33.96_-77.95778",4
"54","33.99083_-77.93722",4
"55","33.90722_-77.99722",4
"56","33.95528_-77.9775",4
"57","33.92194_-77.97417",4
"59","33.96556_-77.97083",4
"63","33.99389_-77.93444",4
"65","33.9125_-78.00417",4
"66","33.88472_-77.98361",4
"75","33.89139_-77.99",4
"77","33.99306_-77.93444",4
"86","33.97194_-77.93056",4
"101","33.93417_-77.98917",4
"102","33.91194_-78.00028",4
"113","33.99111_-77.93583",4
"120","33.96611_-77.93694",4
"132","33.94_-77.98639",4
"133","33.92056_-77.97083",4
"164","33.95528_-77.96639",4
"178","33.97194_-77.96528",4
"180","33.96556_-77.9375",4
"188","33.90944_-77.96806",4
"189","33.88889_-77.99167",4
"220","33.99361_-77.93389",4
"223","33.95722_-77.96833",4
"232","33.96583_-77.95889",4
"239","33.99389_-77.93417",4
"250","33.94139_-77.98639",4
"259","33.95389_-77.96778",4
"277","33.96389_-77.95611",4
"291","33.95444_-77.96639",4
"296","33.96_-77.95722",4
"306","33.96778_-77.95528",4
"310","33.92639_-77.9975",4
"311","33.95222_-77.97444",4
"315","33.91111_-78.00556",4
"317","33.88333_-77.985",4
"321","33.95278_-77.97389",4
"326","33.93861_-77.98833",4
"329","33.9075_-78.00639",4
"331","33.90611_-78.03028",4
"335","33.91361_-77.975",4
"337","33.88361_-77.99417",4
"338","33.92667_-77.99722",4
"340","33.90583_-78.03056",4
"349","33.96472_-77.93944",4
"350","33.88111_-77.98833",4
"351","33.94722_-77.94889",4
"353","33.89861_-78.02389",4
"363","33.95361_-77.96833",4
"365","33.91417_-77.97194",4
"366","33.92556_-77.99917",4
"367","33.90611_-77.99167",4
"371","33.96639_-77.93639",4
"374","33.94806_-77.98278",4
"375","33.91917_-78.01167",4
"382","33.95583_-77.96472",4
"383","33.90944_-78.03444",4
"392","33.96722_-77.93583",4
"393","33.94444_-77.9475",4
"395","33.91722_-77.97667",4
"398","33.90806_-78.03306",4
"400","33.94639_-77.94833",4
"401","33.91417_-77.97083",4
"405","33.96278_-77.94",4
"406","33.89806_-78.02722",4
"409","33.935_-77.97444",4
"411","33.99111_-77.93889",4
"421","33.94833_-77.94861",4
"422","33.89972_-78.02528",4
"430","33.90917_-77.9825",4
"436","33.88722_-77.99222",4
"441","33.97278_-77.94",4
"448","33.99111_-77.93972",4
"454","33.98_-77.95444",4
"456","33.89806_-78.02833",4
"459","33.97528_-77.94083",4
"460","33.95444_-77.97944",4
"468","33.97667_-77.95639",4
"471","33.92222_-77.97556",4
"475","33.9225_-77.96861",4
"1","33.97167_-77.92417",5
"69","33.9925_-77.92528",5
"155","33.97972_-77.9225",5
"206","33.97861_-77.92333",5
"270","33.97417_-77.92194",5
"322","33.97167_-77.92083",5
"345","33.98083_-77.92139",5
"358","33.97194_-77.92667",5
"362","33.98861_-77.92222",5
"368","33.97306_-77.92444",5
"412","33.99222_-77.92472",5
"424","33.98889_-77.92722",5
"435","33.98667_-77.92167",5
"13028","33.982_-77.922",5
"2","34.03306_-77.94389",19
"3","34.04389_-77.93333",19
"7","34.05083_-77.94361",19
"8","34.13889_-77.95694",19
"9","34.07778_-77.94139",19
"10","34.13167_-77.95472",19
"11","34.08111_-77.94111",19
"12","34.14194_-77.9575",19
"13","34.06861_-77.94167",19
"17","34.165_-77.95694",19
"19","34.00333_-77.93083",19
"20","34.125_-77.95222",19
"23","34.15139_-77.94417",19
"24","34.10167_-77.94722",19
"28","34.05417_-77.94222",19
"29","34.06278_-77.94111",19
"31","33.99722_-77.9325",19
"39","34.13722_-77.93583",19
"40","34.08472_-77.94333",19
"41","34.12056_-77.95139",19
"42","34.13889_-77.95639",19
"44","33.99806_-77.93167",19
"45","34.00417_-77.93639",19
"46","34.02639_-77.93389",19
"47","34.11361_-77.9325",19
"48","34.11389_-77.9425",19
"51","34.06222_-77.94111",19
"52","34.13028_-77.95472",19
"53","34.04667_-77.93333",19
"58","34.00333_-77.9375",19
"60","34.09111_-77.94528",19
"61","34.14639_-77.95972",19
"67","34.15528_-77.94417",19
"68","34.155_-77.96528",19
"70","34.00417_-77.93667",19
"73","34.12778_-77.95306",19
"76","34.02917_-77.94361",19
"79","34.13861_-77.95722",19
"81","34.1575_-77.94389",19
"82","34.11306_-77.94194",19
"83","34.12306_-77.93167",19
"89","34.04944_-77.93194",19
"90","34.08028_-77.94167",19
"91","34.12472_-77.95139",19
"94","34.04528_-77.93333",19
"95","34.05222_-77.94278",19
"103","34.00306_-77.93083",19
"105","34.1125_-77.94167",19
"107","33.99778_-77.93167",19
"109","34.13944_-77.9575",19
"110","34.16278_-77.95333",19
"111","34.07611_-77.94139",19
"112","34.13528_-77.95556",19
"114","34.09778_-77.94028",19
"115","34.05556_-77.94139",19
"116","34.10389_-77.94806",19
"117","34.09278_-77.94167",19
"118","34.13611_-77.93472",19
"119","34.08167_-77.94",19
"122","34.15278_-77.94389",19
"123","34.16361_-77.9525",19
"125","34.06889_-77.97472",19
"126","34.16222_-77.96806",19
"127","34.14722_-77.96111",19
"128","34.04611_-77.93361",19
"129","34.06444_-77.94139",19
"130","34.14778_-77.96111",19
"131","34.13111_-77.955",19
"134","34.04694_-77.93389",19
"138","34.12528_-77.94306",19
"139","34.14528_-77.94417",19
"140","34.14472_-77.945",19
"141","34.15361_-77.94444",19
"142","34.05056_-77.94389",19
"144","34.10333_-77.94806",19
"146","34.12778_-77.94389",19
"147","34_-77.93778",19
"149","34.06806_-77.94083",19
"152","33.99528_-77.93361",19
"153","34.125_-77.945",19
"154","34.14194_-77.95778",19
"158","34.1575_-77.95083",19
"161","34.00167_-77.93722",19
"162","34.06278_-77.94056",19
"165","33.99972_-77.93222",19
"168","34.15056_-77.94639",19
"169","34.13306_-77.95472",19
"170","34.10861_-77.94778",19
"174","34.15139_-77.94444",19
"175","34.135_-77.9325",19
"176","34.02056_-77.93194",19
"179","34.06222_-77.94056",19
"181","33.99528_-77.93306",19
"184","34.15611_-77.96583",19
"185","34.16056_-77.9525",19
"190","34.11861_-77.95111",19
"191","34.15639_-77.96472",19
"193","34.06306_-77.94194",19
"194","34.0025_-77.93694",19
"195","34.05028_-77.94417",19
"196","34.11389_-77.94278",19
"197","34.1375_-77.93639",19
"198","34.11472_-77.94861",19
"199","34.14833_-77.94333",19
"200","34.16583_-77.96528",19
"201","34.00083_-77.93167",19
"202","34.12611_-77.95306",19
"204","34.14444_-77.94361",19
"205","34.12778_-77.945",19
"207","34.16333_-77.95333",19
"208","34.13889_-77.94111",19
"209","34.08694_-77.94083",19
"212","34.04583_-77.94472",19
"213","34.005_-77.93361",19
"215","34.1225_-77.95111",19
"217","34.15806_-77.95028",19
"221","34.12528_-77.95222",19
"222","34.15611_-77.96444",19
"225","34.16306_-77.94778",19
"227","34.05361_-77.9425",19
"228","34.12444_-77.94806",19
"230","34.16139_-77.94583",19
"231","34.14472_-77.94194",19
"233","34.14472_-77.94417",19
"235","34.15889_-77.95222",19
"237","34.16611_-77.96667",19
"241","34.13194_-77.95528",19
"245","34.145_-77.94444",19
"246","34.11583_-77.94444",19
"247","34.07389_-77.94056",19
"249","34.04389_-77.9325",19
"252","34.1275_-77.94389",19
"253","34.075_-77.94083",19
"256","34.16389_-77.96861",19
"260","34.04306_-77.94444",19
"263","33.99639_-77.93333",19
"264","34.07472_-77.94083",19
"268","34.10222_-77.94694",19
"269","34.0325_-77.98611",19
"271","34.1575_-77.95056",19
"273","33.99694_-77.9325",19
"274","34.13833_-77.95694",19
"276","34.15056_-77.94361",19
"278","34.00167_-77.98583",19
"279","34.15333_-77.94472",19
"280","34.06861_-77.94111",19
"281","34.15167_-77.94417",19
"283","34.12556_-77.94389",19
"286","34.16028_-77.95139",19
"287","34.00167_-77.9375",19
"290","34.12167_-77.95167",19
"292","34.09722_-77.93222",19
"293","34.16167_-77.96639",19
"294","34.11333_-77.94222",19
"295","34.00056_-77.93167",19
"299","34.16389_-77.95333",19
"300","34.04611_-77.94528",19
"301","34.11_-77.9325",19
"302","34.08639_-77.94083",19
"304","34.16139_-77.96639",19
"308","34.14333_-77.95639",19
"309","33.9975_-77.93833",19
"316","34.05361_-77.94222",19
"318","34.15417_-77.96417",19
"320","34.125_-77.94333",19
"323","34.15917_-77.95167",19
"324","34.04417_-77.9325",19
"327","34.14972_-77.94472",19
"328","34.09222_-77.945",19
"330","34.15583_-77.94472",19
"332","34.04694_-77.94528",19
"333","34.07194_-77.93139",19
"334","34.05028_-77.94361",19
"336","34.15528_-77.94472",19
"341","34.12694_-77.94694",19
"343","34.13083_-77.95444",19
"347","34.00167_-77.93139",19
"352","34.16222_-77.96778",19
"354","34.16167_-77.96528",19
"360","34.11361_-77.94194",19
"361","33.99444_-77.93389",19
"364","34.11111_-77.94167",19
"370","34.07361_-77.94139",19
"372","34.00472_-77.93083",19
"373","34.14472_-77.94444",19
"376","34.04944_-77.93306",19
"379","33.99944_-77.9375",19
"380","34.1325_-77.95528",19
"381","34.04611_-77.945",19
"388","34.15917_-77.95194",19
"389","34.12611_-77.94528",19
"391","34.09556_-77.94139",19
"397","34.14528_-77.94611",19
"399","34.085_-77.94028",19
"403","34.145_-77.95694",19
"404","34.15139_-77.96889",19
"407","34.06667_-77.93056",19
"413","34.10972_-77.94639",19
"416","34.07333_-77.94111",19
"417","34.08667_-77.94444",19
"418","34.14917_-77.96139",19
"420","34.05056_-77.93556",19
"425","34.11278_-77.94444",19
"426","34.11556_-77.945",19
"428","34.04694_-77.93611",19
"431","34.04056_-77.93333",19
"432","34.09722_-77.93972",19
"437","34.14222_-77.95611",19
"438","34.04222_-77.94306",19
"442","34.07694_-77.94",19
"444","34.15722_-77.94444",19
"446","34.06806_-77.94111",19
"450","34.10889_-77.9475",19
"451","34.06306_-77.9325",19
"453","34.00222_-77.93806",19
"461","34.06722_-77.94139",19
"462","34.10083_-77.93278",19
"463","34.04417_-77.93639",19
"464","34.09806_-77.94028",19
"467","34.03611_-77.94306",19
"469","34.04556_-77.945",19
"470","34.10806_-77.93194",19
"473","34.13806_-77.93889",19
"474","34.11333_-77.94167",19
"476","33.99722_-77.93917",19
"13029","34.129_-77.95",19
"4","34.0025_-77.91972",20
"14","34.06389_-77.92278",20
"25","34.08972_-77.92556",20
"27","34.12417_-77.92583",20
"30","34.04722_-77.92222",20
"33","34.09444_-77.92667",20
"34","34.04139_-77.92222",20
"38","34.0225_-77.91889",20
"49","34.10556_-77.92972",20
"50","34.085_-77.92361",20
"62","34.07667_-77.92556",20
"64","34.05944_-77.92056",20
"71","34.11611_-77.92778",20
"72","34.13194_-77.92889",20
"74","34.04444_-77.92333",20
"78","34.05806_-77.91972",20
"80","34.07278_-77.92528",20
"84","34.11167_-77.92722",20
"85","34.00361_-77.92",20
"87","34.12694_-77.92583",20
"88","34.12583_-77.92583",20
"92","34.07694_-77.925",20
"93","34.0675_-77.92528",20
"96","34.04667_-77.92194",20
"97","33.9975_-77.92194",20
"98","34.02361_-77.92889",20
"99","34.00778_-77.91889",20
"100","34.04111_-77.92139",20
"104","34.08528_-77.925",20
"106","34.09167_-77.925",20
"108","34.01528_-77.91889",20
"121","33.99444_-77.9225",20
"124","34.12694_-77.92639",20
"135","34.1075_-77.8975",20
"136","34.09806_-77.92944",20
"137","34.12667_-77.92611",20
"143","34.03222_-77.91972",20
"145","34.04556_-77.92222",20
"148","34.03639_-77.91889",20
"150","34.02_-77.92917",20
"151","34.01167_-77.91806",20
"156","34.06083_-77.92056",20
"157","34.04111_-77.92222",20
"159","34.09667_-77.92972",20
"160","34.03944_-77.91972",20
"163","34.08778_-77.92389",20
"166","34.03917_-77.92",20
"167","34.01306_-77.91694",20
"171","34.13028_-77.92833",20
"172","34.0125_-77.91722",20
"173","34.03194_-77.91944",20
"177","34.04083_-77.92139",20
"182","33.99833_-77.92056",20
"183","34.01917_-77.92833",20
"186","34.045_-77.92222",20
"187","34.10472_-77.92556",20
"192","34.09722_-77.92972",20
"203","34.0825_-77.925",20
"210","34.10861_-77.92806",20
"211","34.00889_-77.91889",20
"214","34.07444_-77.92583",20
"216","34.10361_-77.92806",20
"218","34.07472_-77.91583",20
"219","34.04278_-77.92306",20
"224","34.02_-77.93",20
"226","34.04139_-77.92167",20
"229","34.065_-77.92278",20
"234","34.03222_-77.91944",20
"236","34.05528_-77.91917",20
"238","34.03194_-77.91889",20
"240","34.09667_-77.92611",20
"242","34.10389_-77.92556",20
"243","34.01917_-77.92889",20
"244","34.06861_-77.92528",20
"248","34.0875_-77.92417",20
"251","34.01944_-77.92917",20
"254","34.02556_-77.91667",20
"255","34.04_-77.92056",20
"257","34.02444_-77.9175",20
"258","34.07194_-77.92528",20
"261","34.12722_-77.92583",20
"262","34.0875_-77.92333",20
"265","33.99972_-77.91972",20
"266","34.12889_-77.92667",20
"267","34.0975_-77.93",20
"272","34.13278_-77.92972",20
"275","34.07306_-77.925",20
"282","34.05806_-77.91917",20
"284","34.06778_-77.92472",20
"285","34.12556_-77.92889",20
"288","34.12833_-77.92667",20
"289","34.05917_-77.92028",20
"297","34.06056_-77.92056",20
"298","34.00833_-77.91722",20
"303","34.09778_-77.92944",20
"305","34.07361_-77.92472",20
"307","34.02639_-77.85167",20
"312","34.08944_-77.92528",20
"313","34.065_-77.92306",20
"314","34.11583_-77.9275",20
"319","34.11194_-77.92917",20
"325","34.10611_-77.9275",20
"339","34.09722_-77.91944",20
"342","34.03611_-77.92667",20
"344","34.03278_-77.91944",20
"346","34.09694_-77.92972",20
"348","34.02361_-77.91889",20
"355","34.1075_-77.92944",20
"356","34.04194_-77.92194",20
"357","34.02_-77.91917",20
"359","34.00917_-77.91667",20
"369","34.10972_-77.92889",20
"377","34.07278_-77.92472",20
"378","34.02278_-77.91778",20
"384","34.08694_-77.92278",20
"385","34.07528_-77.92472",20
"386","34.06389_-77.92389",20
"387","34.0975_-77.92583",20
"390","34.06472_-77.92278",20
"394","34.06611_-77.92389",20
"396","34.12556_-77.92556",20
"402","34.07528_-77.92444",20
"408","34.10667_-77.92972",20
"414","34.06306_-77.92278",20
"415","34.10694_-77.92889",20
"419","34.04583_-77.92389",20
"423","34.09333_-77.92583",20
"427","34.005_-77.92333",20
"429","34.09639_-77.92972",20
"433","34.03278_-77.91917",20
"434","34.06333_-77.92944",20
"439","34.07444_-77.92417",20
"440","34.12556_-77.92944",20
"443","34.06083_-77.92083",20
"445","34.09472_-77.92667",20
"447","34.03806_-77.91944",20
"449","33.99528_-77.92278",20
"452","34.09917_-77.92639",20
"455","34.11167_-77.92917",20
"457","34.06556_-77.92889",20
"458","34.09111_-77.92583",20
"465","34.10333_-77.92556",20
"466","34.06194_-77.92222",20
"472","34.07361_-77.92444",20
"13027","34.124_-77.929",20
"13019","34.266_-77.947",34
"13020","34.252_-77.968",34
"13030","34.267_-77.984",34
"10597","34.33806_-76.14472",42
"13031","34.477_-77.475",51
"13032","34.475_-77.464",51
"13033","34.431_-77.606",51
"13035","34.506_-77.466",51
"6084","34.55722_-77.34028",52
"6124","34.5625_-77.37611",52
"6136","34.55806_-77.34444",52
"6153","34.56222_-77.35472",52
"6184","34.55667_-77.34083",52
"6331","34.55583_-77.34028",52
"6387","34.56111_-77.37167",52
"6456","34.56667_-77.41667",52
"6508","34.56333_-77.34139",52
"6650","34.565_-77.36139",52
"6777","34.56806_-77.36556",52
"6896","34.55667_-77.36667",52
"6907","34.56306_-77.34972",52
"6915","34.56556_-77.3775",52
"6933","34.56472_-77.35278",52
"6940","34.56472_-77.36556",52
"6970","34.55111_-77.33361",52
"6978","34.56361_-77.35889",52
"6981","34.565_-77.355",52
"6983","34.56583_-77.36833",52
"7000","34.5525_-77.33889",52
"13034","34.517_-77.424",52
"7008","34.41389_-76.66028",55
"6065","34.70389_-77.37861",67
"6066","34.575_-77.41972",67
"6067","34.67694_-77.37639",67
"6068","34.62194_-77.3775",67
"6069","34.67028_-77.36111",67
"6070","34.59167_-77.43694",67
"6071","34.68778_-77.41611",67
"6072","34.58556_-77.36917",67
"6073","34.70056_-77.37694",67
"6074","34.63583_-77.34167",67
"6075","34.72806_-77.42528",67
"6076","34.63111_-77.37417",67
"6077","34.72417_-77.36222",67
"6078","34.6125_-77.39222",67
"6079","34.70056_-77.41361",67
"6080","34.62444_-77.35361",67
"6081","34.7_-77.41694",67
"6082","34.58389_-77.40472",67
"6083","34.68806_-77.43361",67
"6085","34.67333_-77.39944",67
"6086","34.59056_-77.43444",67
"6087","34.72167_-77.40889",67
"6088","34.61694_-77.41083",67
"6089","34.63417_-77.37472",67
"6090","34.73639_-77.42833",67
"6091","34.58472_-77.37583",67
"6092","34.67444_-77.39972",67
"6093","34.71667_-77.43083",67
"6094","34.61389_-77.40833",67
"6095","34.72056_-77.40944",67
"6096","34.62861_-77.34806",67
"6097","34.69833_-77.41694",67
"6098","34.61389_-77.39167",67
"6099","34.72278_-77.38722",67
"6100","34.64222_-77.37139",67
"6101","34.7125_-77.39639",67
"6102","34.60194_-77.39028",67
"6103","34.72806_-77.36889",67
"6104","34.58444_-77.39556",67
"6105","34.72222_-77.37556",67
"6106","34.60167_-77.38806",67
"6107","34.73667_-77.42778",67
"6108","34.61778_-77.41139",67
"6109","34.5875_-77.43278",67
"6110","34.69139_-77.42194",67
"6111","34.58361_-77.37667",67
"6112","34.70806_-77.39111",67
"6113","34.69444_-77.37361",67
"6114","34.57333_-77.40583",67
"6115","34.72306_-77.42833",67
"6116","34.62083_-77.35806",67
