Speciescommonname,Sciname
alewife,A. pseudoharengus
american shad,A. sapidissima
atlantic angel shark,S.Êdumeril
atlantic croaker,M.Êundulatus
atlantic silverside,M. menidia
atlantic thread herring,
black drum,P.Êcromis
blacktip shark,C.Êlimbatus
blue catfish,I.Êfurcatus
blue crab,C.Êsapidus
bonnethead shark,S.Êtiburo
brown shrimp,F.Êaztecus
bull shark,C.Êleucas
channel catfish,I. punctatus
cownose ray,R. bonasus
eastern oyster,C.Êvirginica
gizzard shad,D. cepedianum
hickory shad,A. mediocris
atlantic menhaden,B. tyrannus
oyster toadfish,O.Êtau
red drum,S.Êocellatus
sandbar shark,C.Êplumbeus(milberti)
scalloped hammerhead,S.Êlewini
atlantic sharpnose shark,R.Êterraenovae
sheepshead,A.Êprobatocephalus
silver perch,B. bidyanus
silversides,Atheriniformes
southern flounder,P.Êlethostigma
southern kingfish,M.Êamericanus
spot,L. xanthurus
striped bass,M.Êsaxatilis
striped mullet,M. cephalus
summer flounder,P. dentatus
white mullet,M. curema
white shrimp,L.Êsetiferus
,
,
