"","Sciname","Speciescommonname"
"1","P. lethostigma","southern flounder"
"2","S. ocellatus","red drum"
"3","M. saxatilis","striped bass"
"4","C. sapidus","blue crab"
"5","M. undulatus","atlantic croaker"
"6","P. cromis","black drum"
"7","R. terraenovae","atlantic sharpnose shark"
"8","S. tiburo","bonnethead hammerhead"
"9","A. probatocephalus","sheepshead"
"10","F. aztecus","brown shrimp"
"11","M. americanus","southern kingfish"
"12","L. setiferus","white shrimp"
"13","C. virginica","eastern oyster"
"14","C. plumbeus(milberti)","sandbar shark"
"15","O. tau","oyster toadfish"
"16","C. leucas","bull shark"
"17","I. furcatus","blue catfish"
"18","C. limbatus","blacktip shark"
"19","S. lewini","scallop hammerhead"
